"variable","type","description","analysis_role"
"sample_title","character","Sample identifier used as the column name in the raw-count matrix.","sample_key"
"geo_accession","character","NCBI GEO GSM accession.","external_identifier"
"tissue","character","Tissue type reported by GEO.","descriptive"
"donorid","character","Donor identifier; defines the repeated-measures blocking unit.","blocking_factor"
"group","character","Combined disease-group and lung-region label reported by GEO.","descriptive"
"lib_size","numeric","Library size reported in GEO metadata; validated against raw-count column sums.","qc"
"norm_factors","numeric","Normalization factor reported by the source study; retained for provenance and not automatically reused in the primary analysis.","source_metadata"
"lunglocation","character","Anatomical lung region.","covariate"
"leftright","character","Left/right lung annotation.","descriptive"
"diseasenormal","character","Broad disease-versus-normal classification.","descriptive"
"diseasegroup","character","Primary disease-group annotation used to define analysis cohorts.","primary_exposure"
"gender","character","Sex/gender annotation reported by the source study.","candidate_covariate"
"diagnosis","character","Diagnostic group reported by GEO.","validation"
"age","numeric","Age in years.","candidate_covariate"
"lungweight_mg","numeric","Lung tissue weight in milligrams.","descriptive"
"rnaconcentration_ngul","numeric","RNA concentration as reported by GEO.","qc"
"rin","numeric","RNA integrity number.","qc"
"volum_ul","numeric","RNA volume as reported by GEO.","descriptive"
"processingdate","character","Sample processing date reported by GEO.","descriptive"
"diseasesubtype","character","Disease subtype annotation.","descriptive"
"smokingstatus","character","Smoking-status annotation.","candidate_covariate"
"severity","character","Disease-severity annotation.","descriptive"
"fvcprebd_perc","numeric","Pre-bronchodilator FVC percent predicted.","descriptive"
"dlco_perc","numeric","DLCO percent predicted.","descriptive"
"dlco_perc_corrected","numeric","Corrected DLCO percent predicted.","descriptive"
"diseasegroup1","character","Additional disease-group annotation; validated against diseasegroup.","validation"
"age_group","character","Categorical age group reported by GEO.","descriptive"
