"variable","level","n","percent"
"sample_title","ALF001",1,0.72
"sample_title","ALF004C",1,0.72
"sample_title","ALF004D",1,0.72
"sample_title","ALF007A",1,0.72
"sample_title","ALF007B",1,0.72
"sample_title","ALF007C",1,0.72
"sample_title","ALF007D",1,0.72
"sample_title","ALF008A",1,0.72
"sample_title","ALF008B",1,0.72
"sample_title","ALF008C",1,0.72
"sample_title","ALF008D",1,0.72
"sample_title","ALF009B",1,0.72
"sample_title","ALF009C",1,0.72
"sample_title","ALF010A",1,0.72
"sample_title","ALF011A",1,0.72
"sample_title","ALF011B",1,0.72
"sample_title","ALF012A",1,0.72
"sample_title","ALF012B",1,0.72
"sample_title","ALF012E",1,0.72
"sample_title","ALF012F",1,0.72
"sample_title","ALF013A",1,0.72
"sample_title","ALF013B",1,0.72
"sample_title","ALF014A",1,0.72
"sample_title","ALF014B",1,0.72
"sample_title","ALF014C",1,0.72
"sample_title","ALF014D",1,0.72
"sample_title","ALF015A",1,0.72
"sample_title","ALF015B",1,0.72
"sample_title","ALF016A",1,0.72
"sample_title","ALF016B",1,0.72
"sample_title","ALF017A",1,0.72
"sample_title","ALF017B",1,0.72
"sample_title","ALF018A",1,0.72
"sample_title","ALF018B",1,0.72
"sample_title","ALF018C",1,0.72
"sample_title","ALF018D",1,0.72
"sample_title","ALF018E",1,0.72
"sample_title","ALF019A",1,0.72
"sample_title","ALF019B",1,0.72
"sample_title","ALF019C",1,0.72
"sample_title","ALF019D",1,0.72
"sample_title","ALF020A",1,0.72
"sample_title","ALF020B",1,0.72
"sample_title","ALF020C",1,0.72
"sample_title","ALF020D",1,0.72
"sample_title","ALF021A",1,0.72
"sample_title","ALF021B",1,0.72
"sample_title","ALF022A",1,0.72
"sample_title","ALF022B",1,0.72
"sample_title","ALF023A",1,0.72
"sample_title","ALF023B",1,0.72
"sample_title","ALF023C",1,0.72
"sample_title","ALF023D",1,0.72
"sample_title","ALF024A",1,0.72
"sample_title","ALF024B",1,0.72
"sample_title","ALF024C",1,0.72
"sample_title","ALF025A",1,0.72
"sample_title","ALF025B",1,0.72
"sample_title","ALF025C",1,0.72
"sample_title","ALF025D",1,0.72
"sample_title","ALF026A",1,0.72
"sample_title","ALF026B",1,0.72
"sample_title","ALF026C",1,0.72
"sample_title","ALF026D",1,0.72
"sample_title","ALF026E",1,0.72
"sample_title","ALF027A",1,0.72
"sample_title","ALF027B",1,0.72
"sample_title","ALF027C",1,0.72
"sample_title","ALF027D",1,0.72
"sample_title","ALF028A",1,0.72
"sample_title","ALF028B",1,0.72
"sample_title","ALF028C",1,0.72
"sample_title","ALF028D",1,0.72
"sample_title","ALF029A",1,0.72
"sample_title","ALF029B",1,0.72
"sample_title","ALF029C",1,0.72
"sample_title","ALF029D",1,0.72
"sample_title","ALF030A",1,0.72
"sample_title","ALF030B",1,0.72
"sample_title","ALF030C",1,0.72
"sample_title","ALF030D",1,0.72
"sample_title","ALF031A",1,0.72
"sample_title","ALF031B",1,0.72
"sample_title","ALF031C",1,0.72
"sample_title","ALF031D",1,0.72
"sample_title","ALF032A",1,0.72
"sample_title","ALF032B",1,0.72
"sample_title","ALF032C",1,0.72
"sample_title","ALF032D",1,0.72
"sample_title","ALF033A",1,0.72
"sample_title","ALF033B",1,0.72
"sample_title","ALF034A",1,0.72
"sample_title","ALF034B",1,0.72
"sample_title","ALF035A",1,0.72
"sample_title","ALF035B",1,0.72
"sample_title","ALF035C",1,0.72
"sample_title","ALF035D",1,0.72
"sample_title","ALF036A",1,0.72
"sample_title","ALF036B",1,0.72
"sample_title","ALF037A",1,0.72
"sample_title","ALF037B",1,0.72
"sample_title","ALF038A",1,0.72
"sample_title","ALF038B",1,0.72
"sample_title","ALF039A",1,0.72
"sample_title","ALF039B",1,0.72
"sample_title","ALF040A",1,0.72
"sample_title","ALF040B",1,0.72
"sample_title","ALF041A",1,0.72
"sample_title","ALF041B",1,0.72
"sample_title","ALF042A",1,0.72
"sample_title","ALF042B",1,0.72
"sample_title","ALF042C",1,0.72
"sample_title","ALF042D",1,0.72
"sample_title","ALF043A",1,0.72
"sample_title","ALF043B",1,0.72
"sample_title","ALF043C",1,0.72
"sample_title","ALF043D",1,0.72
"sample_title","ALF044A",1,0.72
"sample_title","ALF044B",1,0.72
"sample_title","ALF045A",1,0.72
"sample_title","ALF045B",1,0.72
"sample_title","ALF046A",1,0.72
"sample_title","ALF046B",1,0.72
"sample_title","ALF046C",1,0.72
"sample_title","ALF046D",1,0.72
"sample_title","ALF047A",1,0.72
"sample_title","ALF047B",1,0.72
"sample_title","ALF047C",1,0.72
"sample_title","ALF047D",1,0.72
"sample_title","ALF048A",1,0.72
"sample_title","ALF048B",1,0.72
"sample_title","ALF048C",1,0.72
"sample_title","ALF048D",1,0.72
"sample_title","ALF049A",1,0.72
"sample_title","ALF049B",1,0.72
"sample_title","ALF050A",1,0.72
"sample_title","ALF050B",1,0.72
"sample_title","ALF050C",1,0.72
"sample_title","ALF050D",1,0.72
"geo_accession","GSM6568317",1,0.72
"geo_accession","GSM6568318",1,0.72
"geo_accession","GSM6568319",1,0.72
"geo_accession","GSM6568320",1,0.72
"geo_accession","GSM6568321",1,0.72
"geo_accession","GSM6568322",1,0.72
"geo_accession","GSM6568323",1,0.72
"geo_accession","GSM6568324",1,0.72
"geo_accession","GSM6568325",1,0.72
"geo_accession","GSM6568326",1,0.72
"geo_accession","GSM6568327",1,0.72
"geo_accession","GSM6568328",1,0.72
"geo_accession","GSM6568329",1,0.72
"geo_accession","GSM6568330",1,0.72
"geo_accession","GSM6568331",1,0.72
"geo_accession","GSM6568332",1,0.72
"geo_accession","GSM6568333",1,0.72
"geo_accession","GSM6568334",1,0.72
"geo_accession","GSM6568335",1,0.72
"geo_accession","GSM6568336",1,0.72
"geo_accession","GSM6568337",1,0.72
"geo_accession","GSM6568338",1,0.72
"geo_accession","GSM6568339",1,0.72
"geo_accession","GSM6568340",1,0.72
"geo_accession","GSM6568341",1,0.72
"geo_accession","GSM6568342",1,0.72
"geo_accession","GSM6568343",1,0.72
"geo_accession","GSM6568344",1,0.72
"geo_accession","GSM6568345",1,0.72
"geo_accession","GSM6568346",1,0.72
"geo_accession","GSM6568347",1,0.72
"geo_accession","GSM6568348",1,0.72
"geo_accession","GSM6568349",1,0.72
"geo_accession","GSM6568350",1,0.72
"geo_accession","GSM6568351",1,0.72
"geo_accession","GSM6568352",1,0.72
"geo_accession","GSM6568353",1,0.72
"geo_accession","GSM6568354",1,0.72
"geo_accession","GSM6568355",1,0.72
"geo_accession","GSM6568356",1,0.72
"geo_accession","GSM6568357",1,0.72
"geo_accession","GSM6568358",1,0.72
"geo_accession","GSM6568359",1,0.72
"geo_accession","GSM6568360",1,0.72
"geo_accession","GSM6568361",1,0.72
"geo_accession","GSM6568362",1,0.72
"geo_accession","GSM6568363",1,0.72
"geo_accession","GSM6568364",1,0.72
"geo_accession","GSM6568365",1,0.72
"geo_accession","GSM6568366",1,0.72
"geo_accession","GSM6568367",1,0.72
"geo_accession","GSM6568368",1,0.72
"geo_accession","GSM6568369",1,0.72
"geo_accession","GSM6568370",1,0.72
"geo_accession","GSM6568371",1,0.72
"geo_accession","GSM6568372",1,0.72
"geo_accession","GSM6568373",1,0.72
"geo_accession","GSM6568374",1,0.72
"geo_accession","GSM6568375",1,0.72
"geo_accession","GSM6568376",1,0.72
"geo_accession","GSM6568377",1,0.72
"geo_accession","GSM6568378",1,0.72
"geo_accession","GSM6568379",1,0.72
"geo_accession","GSM6568380",1,0.72
"geo_accession","GSM6568381",1,0.72
"geo_accession","GSM6568382",1,0.72
"geo_accession","GSM6568383",1,0.72
"geo_accession","GSM6568384",1,0.72
"geo_accession","GSM6568385",1,0.72
"geo_accession","GSM6568386",1,0.72
"geo_accession","GSM6568387",1,0.72
"geo_accession","GSM6568388",1,0.72
"geo_accession","GSM6568389",1,0.72
"geo_accession","GSM6568390",1,0.72
"geo_accession","GSM6568391",1,0.72
"geo_accession","GSM6568392",1,0.72
"geo_accession","GSM6568393",1,0.72
"geo_accession","GSM6568394",1,0.72
"geo_accession","GSM6568395",1,0.72
"geo_accession","GSM6568396",1,0.72
"geo_accession","GSM6568397",1,0.72
"geo_accession","GSM6568398",1,0.72
"geo_accession","GSM6568399",1,0.72
"geo_accession","GSM6568400",1,0.72
"geo_accession","GSM6568401",1,0.72
"geo_accession","GSM6568402",1,0.72
"geo_accession","GSM6568403",1,0.72
"geo_accession","GSM6568404",1,0.72
"geo_accession","GSM6568405",1,0.72
"geo_accession","GSM6568406",1,0.72
"geo_accession","GSM6568407",1,0.72
"geo_accession","GSM6568408",1,0.72
"geo_accession","GSM6568409",1,0.72
"geo_accession","GSM6568410",1,0.72
"geo_accession","GSM6568411",1,0.72
"geo_accession","GSM6568412",1,0.72
"geo_accession","GSM6568413",1,0.72
"geo_accession","GSM6568414",1,0.72
"geo_accession","GSM6568415",1,0.72
"geo_accession","GSM6568416",1,0.72
"geo_accession","GSM6568417",1,0.72
"geo_accession","GSM6568418",1,0.72
"geo_accession","GSM6568419",1,0.72
"geo_accession","GSM6568420",1,0.72
"geo_accession","GSM6568421",1,0.72
"geo_accession","GSM6568422",1,0.72
"geo_accession","GSM6568423",1,0.72
"geo_accession","GSM6568424",1,0.72
"geo_accession","GSM6568425",1,0.72
"geo_accession","GSM6568426",1,0.72
"geo_accession","GSM6568427",1,0.72
"geo_accession","GSM6568428",1,0.72
"geo_accession","GSM6568429",1,0.72
"geo_accession","GSM6568430",1,0.72
"geo_accession","GSM6568431",1,0.72
"geo_accession","GSM6568432",1,0.72
"geo_accession","GSM6568433",1,0.72
"geo_accession","GSM6568434",1,0.72
"geo_accession","GSM6568435",1,0.72
"geo_accession","GSM6568436",1,0.72
"geo_accession","GSM6568437",1,0.72
"geo_accession","GSM6568438",1,0.72
"geo_accession","GSM6568439",1,0.72
"geo_accession","GSM6568440",1,0.72
"geo_accession","GSM6568441",1,0.72
"geo_accession","GSM6568442",1,0.72
"geo_accession","GSM6568443",1,0.72
"geo_accession","GSM6568444",1,0.72
"geo_accession","GSM6568445",1,0.72
"geo_accession","GSM6568446",1,0.72
"geo_accession","GSM6568447",1,0.72
"geo_accession","GSM6568448",1,0.72
"geo_accession","GSM6568449",1,0.72
"geo_accession","GSM6568450",1,0.72
"geo_accession","GSM6568451",1,0.72
"geo_accession","GSM6568452",1,0.72
"geo_accession","GSM6568453",1,0.72
"geo_accession","GSM6568454",1,0.72
"geo_accession","GSM6568455",1,0.72
"tissue","Whole lung",139,100
"donorid","ALF001",1,0.72
"donorid","ALF004",2,1.44
"donorid","ALF007",4,2.88
"donorid","ALF008",4,2.88
"donorid","ALF009",2,1.44
"donorid","ALF010",1,0.72
"donorid","ALF011",2,1.44
"donorid","ALF012",4,2.88
"donorid","ALF013",2,1.44
"donorid","ALF014",4,2.88
"donorid","ALF015",2,1.44
"donorid","ALF016",2,1.44
"donorid","ALF017",2,1.44
"donorid","ALF018",5,3.6
"donorid","ALF019",4,2.88
"donorid","ALF020",4,2.88
"donorid","ALF021",2,1.44
"donorid","ALF022",2,1.44
"donorid","ALF023",4,2.88
"donorid","ALF024",3,2.16
"donorid","ALF025",4,2.88
"donorid","ALF026",5,3.6
"donorid","ALF027",4,2.88
"donorid","ALF028",4,2.88
"donorid","ALF029",4,2.88
"donorid","ALF030",4,2.88
"donorid","ALF031",4,2.88
"donorid","ALF032",4,2.88
"donorid","ALF033",2,1.44
"donorid","ALF034",2,1.44
"donorid","ALF035",4,2.88
"donorid","ALF036",2,1.44
"donorid","ALF037",2,1.44
"donorid","ALF038",2,1.44
"donorid","ALF039",2,1.44
"donorid","ALF040",2,1.44
"donorid","ALF041",2,1.44
"donorid","ALF042",4,2.88
"donorid","ALF043",4,2.88
"donorid","ALF044",2,1.44
"donorid","ALF045",2,1.44
"donorid","ALF046",4,2.88
"donorid","ALF047",4,2.88
"donorid","ALF048",4,2.88
"donorid","ALF049",2,1.44
"donorid","ALF050",4,2.88
"group","CLAD.Apex",5,3.6
"group","CLAD.Base",5,3.6
"group","ILD.Apex",13,9.35
"group","ILD.Base",13,9.35
"group","IPF.Apex",30,21.58
"group","IPF.Base",31,22.3
"group","IPF.NA",1,0.72
"group","NDC.Apex",22,15.83
"group","NDC.Base",18,12.95
"group","NDC.NA",1,0.72
"lunglocation","<NA>",2,1.44
"lunglocation","Apex",70,50.36
"lunglocation","Base",67,48.2
"leftright","Left",65,46.76
"leftright","Right",65,46.76
"leftright","Unclassified",9,6.47
"diseasenormal","Disease",98,70.5
"diseasenormal","Normal",41,29.5
"diseasegroup","CLAD",10,7.19
"diseasegroup","ILD",26,18.71
"diseasegroup","IPF",62,44.6
"diseasegroup","NDC",41,29.5
"gender","F",69,49.64
"gender","M",70,50.36
"diagnosis","CLAD",10,7.19
"diagnosis","ILD",26,18.71
"diagnosis","IPF",62,44.6
"diagnosis","NDC",41,29.5
"processingdate","5/1/2018",41,29.5
"processingdate","5/2/2018",48,34.53
"processingdate","5/8/2018",50,35.97
"diseasesubtype","CLAD",8,5.76
"diseasesubtype","CPFE",2,1.44
"diseasesubtype","CTD-ILD",6,4.32
"diseasesubtype","HP",10,7.19
"diseasesubtype","IPF",60,43.17
"diseasesubtype","NDC",41,29.5
"diseasesubtype","NSIP",12,8.63
"smokingstatus","<NA>",29,20.86
"smokingstatus","Current",4,2.88
"smokingstatus","Ex-Smoker",67,48.2
"smokingstatus","Never",39,28.06
"severity","<NA>",43,30.94
"severity","Advanced",30,21.58
"severity","Moderate",14,10.07
"severity","Severe",52,37.41
"diseasegroup1","CLAD",10,7.19
"diseasegroup1","ILD",26,18.71
"diseasegroup1","IPF",62,44.6
"diseasegroup1","NDC",41,29.5
"age_group","Adult [19-59]",68,48.92
"age_group","Senior Adult (>=60)",71,51.08
