"variable","n_missing","percent_missing"
"dlco_perc_corrected",80,57.55
"dlco_perc",64,46.04
"fvcprebd_perc",48,34.53
"severity",43,30.94
"smokingstatus",29,20.86
"age",2,1.44
"lunglocation",2,1.44
"age_group",0,0
"diagnosis",0,0
"diseasegroup",0,0
"diseasegroup1",0,0
"diseasenormal",0,0
"diseasesubtype",0,0
"donorid",0,0
"gender",0,0
"geo_accession",0,0
"group",0,0
"leftright",0,0
"lib_size",0,0
"lungweight_mg",0,0
"norm_factors",0,0
"processingdate",0,0
"rin",0,0
"rnaconcentration_ngul",0,0
"sample_title",0,0
"tissue",0,0
"volum_ul",0,0
