"variable","n","n_missing","mean","sd","median","min","max"
"lib_size",139,0,13879441.2589928,1840577.97509223,13626729,7631177,19772627
"norm_factors",139,0,1.00529670740221,0.0926858684000472,1.0152553272047,0.41722071693763,1.15820120626933
"age",137,2,55.6788321167883,11.4371262758417,60,28,73
"lungweight_mg",139,0,28.8920863309353,7.76063146194594,29,1,45
"rnaconcentration_ngul",139,0,388.309352517986,268.915288879335,330,21,1246
"rin",139,0,7.09568345323741,1.11276327310466,7.3,2.4,8.9
"volum_ul",139,0,14,0,14,14,14
"fvcprebd_perc",91,48,42.8465934065934,17.1459604714463,43,0.92,86
"dlco_perc",75,64,24.5632,11.982010633062,19,0.31,49
"dlco_perc_corrected",59,80,23.646779661017,12.5033066579065,17,0.29,51
