"component","percent_variance"
"PC1",31.1074808449271
"PC2",13.9458919156652
"PC3",7.99700094251614
"PC4",4.43409049584084
"PC5",3.63196225107024
"PC6",3.24783141897879
"PC7",2.51759024542444
"PC8",2.25042452923555
"PC9",2.06411962221073
"PC10",1.76333878026318
"PC11",1.39837579558724
"PC12",1.30171785896875
"PC13",1.24792273103334
"PC14",1.09489163394939
"PC15",0.963867627453814
"PC16",0.90322017675939
"PC17",0.861759978219246
"PC18",0.787198617677243
"PC19",0.699240227671846
"PC20",0.675689533315144
"PC21",0.652118146540371
"PC22",0.595839855264944
"PC23",0.587276517137977
"PC24",0.551678518478114
"PC25",0.526151930187
"PC26",0.50707387269672
"PC27",0.487470550774116
"PC28",0.470061794022934
"PC29",0.458351356246943
"PC30",0.445796537165236
"PC31",0.427528369963185
"PC32",0.416041324274189
"PC33",0.399025839828263
"PC34",0.367908040954452
"PC35",0.355937343526334
"PC36",0.334061696440636
"PC37",0.327822827964545
"PC38",0.315318977903339
"PC39",0.306608228022055
"PC40",0.302506387970335
"PC41",0.285153151022644
"PC42",0.262710127488544
"PC43",0.257638631210289
"PC44",0.253723239254496
"PC45",0.249727865199891
"PC46",0.238115826406063
"PC47",0.231273743313611
"PC48",0.219156667696057
"PC49",0.213818738367949
"PC50",0.205688888192602
"PC51",0.194210541569685
"PC52",0.190079676071298
"PC53",0.188839577519971
"PC54",0.17585244399573
"PC55",0.175280377409974
"PC56",0.169242968357395
"PC57",0.165720221111419
"PC58",0.160818429394945
"PC59",0.157762944303583
"PC60",0.156027109386909
"PC61",0.151097567762927
"PC62",0.149265328263815
"PC63",0.146145847467119
"PC64",0.144434433868943
"PC65",0.138219392274408
"PC66",0.134272440559174
"PC67",0.130496442703624
"PC68",0.126327777386777
"PC69",0.12554285177847
"PC70",0.12326823789107
"PC71",0.12009807462918
"PC72",0.118464347938579
"PC73",0.116567827196969
"PC74",0.115270092637992
"PC75",0.112971764692434
"PC76",0.110828434724327
"PC77",0.109213026277199
"PC78",0.10563608544759
"PC79",0.101531100860793
"PC80",0.100678411361323
"PC81",0.0979071776155035
"PC82",0.0970500725282064
"PC83",0.0940716003878096
"PC84",0.0938066585773519
"PC85",0.0929046497437753
"PC86",0.0914891642903339
"PC87",0.0886496273576635
"PC88",0.0867401344491372
"PC89",0.0861566852195757
"PC90",0.0840617909938542
"PC91",0.0817445434414239
"PC92",0.0800016939026823
"PC93",0.0780853383377955
"PC94",0.0774787986070474
"PC95",0.0750145019203146
"PC96",0.0732712525168603
"PC97",0.0705497217902786
"PC98",0.0669531199656396
"PC99",0.063115377539141
"PC100",0.0615840956904974
"PC101",2.12876834132239e-29
