"grouping_variable","group","metric","n","mean","sd","median","q1","q3","min","max"
"diseasegroup","IPF","library_size",61,13755414.9180328,1753951.11473578,13546988,12718781,14532958,10770770,19153988
"diseasegroup","NDC","library_size",40,14014305.45,1946299.03488522,13857957.5,13204026.5,14707257,7631177,19772627
"diseasegroup","IPF","rin",61,7.20327868852459,0.807664784654862,7.3,6.7,7.8,5.1,8.8
"diseasegroup","NDC","rin",40,7.0475,1.63722521671773,7.5,6.85,8.15,2.4,8.9
"diseasegroup","IPF","detected_genes_gt0",61,15014.4098360656,30.718277430644,15024,15000,15040,14906,15054
"diseasegroup","NDC","detected_genes_gt0",40,14937.375,66.2310205034097,14945.5,14921.25,14976.25,14687,15034
"diseasegroup","IPF","detected_genes_ge10",61,14471.8852459016,179.500426959627,14444,14341,14647,13984,14826
"diseasegroup","NDC","detected_genes_ge10",40,14151.55,264.602551492631,14173,14118.5,14279.5,13110,14525
"diseasegroup","IPF","zero_fraction",61,0.00335812571751917,0.0020390492818217,0.0027215399933621,0.0016594756057086,0.00431463657484235,0.000730169266511782,0.0105542648523067
"diseasegroup","NDC","zero_fraction",40,0.00847162296714238,0.00439635051466377,0.00793229339528709,0.00589113840026552,0.00954198473282443,0.00205774975107866,0.025091271158314
"lunglocation","Apex","library_size",52,13880164.4423077,1986815.71824439,13652698,12913058.75,14671590.75,7631177,19772627
"lunglocation","Base","library_size",49,13834366.877551,1661843.88429083,13714528,12956085,14532958,10770770,18423756
"lunglocation","Apex","rin",52,7.21730769230769,1.07661800785684,7.4,6.9,7.9,3.6,8.9
"lunglocation","Base","rin",49,7.06122448979592,1.32709211036301,7.3,6.5,7.8,2.4,8.9
"lunglocation","Apex","detected_genes_gt0",52,14977.7884615385,50.9456983265406,14979.5,14946.25,15021.75,14828,15048
"lunglocation","Base","detected_genes_gt0",49,14990.387755102,69.9231174000329,15014,14977,15038,14687,15054
"lunglocation","Apex","detected_genes_ge10",52,14290.0961538462,209.251444543976,14303.5,14171,14424,13582,14748
"lunglocation","Base","detected_genes_ge10",49,14403.306122449,309.110700510461,14444,14279,14650,13110,14826
"lunglocation","Apex","zero_fraction",52,0.0057890168245296,0.00338172574354734,0.0056754065715234,0.00287089279787587,0.00788250912711583,0.00112844341188185,0.0157318287421175
"lunglocation","Base","zero_fraction",49,0.00495268801181276,0.00464142830401811,0.00338533023564554,0.00179223365416528,0.00584135413209426,0.000730169266511782,0.025091271158314
